,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
312,MSI GF시리즈 GF75 Thin 10UC WIN10 32GB램,"1,468,990",43.94cm(17.3인치),코어i7-10세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3050,○,○,51Wh,150W,23.1mm,2.2kg,총4개,○,
313,한성컴퓨터 TFG5576XG,"1,599,000",39.62cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,16GB,500GB,M.2(NVMe),RTX3060,,○,62.32Wh,230W,23mm,1.7kg,총4개,○,
314,ASUS 비보북 프로 14 OLED K3400PA-KM038,"769,000",35.56cm(14인치),코어i5-11세대,미포함(프리도스),16:10,,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,○,63Wh,65W,19.3mm,1.4kg,총4개,○,
315,LG전자 2022 그램15 15ZD95P-GX76K,"1,361,200",39.6cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.4mm,1.12kg,총4개,○,
316,삼성전자 갤럭시북 프로 NT930XDY-A51A,"1,290,000",33.7cm(13.3인치),코어i5-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,63Wh,65W,11.2mm,870g,총3개,○,
317,MSI 써밋 E13 Flip Evo A12MT W11,"2,270,000",34.03cm(13.4인치),코어i7-12세대,윈도우11홈,16:10,○,LPDDR5(온보드),16GB,1TB,M.2(NVMe),Iris Xe,○,,70Wh,65W,14.9mm,1.35kg,총3개,○,
318,MSI 모던시리즈 모던15 A11M-i5 카본 그레이 WIN10 16GB램,"796,170",39.62cm(15.6인치),코어i5-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),Iris Xe,○,○,52Wh,65W,16.9mm,1.6kg,총4개,○,
319,MSI GE시리즈 레이더 GE76 12UHS 4K W11,"4,790,000",43.9cm(17.3인치),코어i7-12세대,윈도우11프로,16:9,○,DDR5,32GB,2TB,M.2(NVMe),RTX3080 Ti,○,,99.9Wh,330W,25.9mm,2.9kg,총5개,○,
320,MSI GF시리즈 GF63 Thin 10SC-i5 비전,"858,000",39.62cm(15.6인치),코어i5-10세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),GTX1650,○,○,51Wh,120W,21.7mm,1.77kg,총4개,○,
321,MSI 모던시리즈 모던14 B11M-i5 카본 그레이 WIN10,"682,080",35.56cm(14인치),코어i5-11세대,윈도우10,16:9,○,DDR4,8GB,512GB,M.2(NVMe),,○,○,39Wh,65W,16.9mm,1.3kg,총3개,○,
322,MSI GF시리즈 GF63 Thin 9SC-i7 파워팩 프로 WIN10,"1,268,050",39.62cm(15.6인치),코어i7-9세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),GTX1650,○,,51Wh,120W,21.7mm,1.77kg,,○,
323,한성컴퓨터 언더케이지 TFX4470HW W11,"919,000",35.56cm(14인치),라이젠7-3세대,윈도우11홈,16:9,○,DDR4,16GB,500GB,M.2(NVMe),Radeon Graphics,○,○,46.74Wh,90W,17.3mm,1.1kg,총4개,,○
324,한성컴퓨터 TFG7277XG,"2,459,000",43.94cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR5,16GB,500GB,M.2(NVMe),RTX3070 Ti,,○,91.24Wh,230W,22mm,2.5kg,총4개,○,
325,한성컴퓨터 올데이롱 TFX5556UW,"1,129,000",39.62cm(15.6인치),라이젠5-4세대,윈도우11홈,16:9,○,DDR4,16GB,500GB,M.2(NVMe),Radeon Graphics,○,○,91.24Wh,65W,18mm,1.4kg,총4개,○,
326,한성컴퓨터 TFX5470UC,"729,000",39.62cm(15.6인치),라이젠7-3세대,미포함(프리도스),16:9,○,DDR4,16GB,500GB,M.2(NVMe),Radeon Graphics,○,○,49Wh,65W,20mm,1.6kg,총4개,○,
327,주연테크 리오나인 젠 L8CS36,"1,349,000",43.94cm(17.3인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,,○,48.96Wh,230W,32.4mm,2.5kg,총4개,○,
328,GIGABYTE AERO 17 KE5 Mini LED,"3,270,000",43.94cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,,DDR5,16GB,1TB,M.2(NVMe),RTX3060,,○,99Wh,230W,23.4mm,2.6kg,총3개,○,
329,DELL G시리즈 G15 DG5521SE-WH04KR,"2,420,000",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,,DDR5,16GB,1TB,M.2(NVMe),RTX3070 Ti,,○,86Wh,240W,26.9mm,2.674kg,총4개,○,
330,MSI 써밋 E14 A11SCST,"1,299,000",35.56cm(14인치),코어i7-11세대,미포함(프리도스),16:9,○,LPDDR4,16GB,1TB,M.2(NVMe),GTX1650 Ti,,○,52Wh,90W,15.9mm,1.32kg,총3개,○,
331,레노버 V15 G2 82KD000VKR,"628,320",39.62cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,,38Wh,,19.9mm,1.7kg,총3개,,○
332,MSI GE시리즈 레이더 GE76 12UHS-i9 4K W11 디럭스 에디션,"6,990,000",43.9cm(17.3인치),코어i9-12세대,윈도우11프로,16:9,○,DDR5,64GB,2TB,M.2(NVMe),RTX3080 Ti,○,,99.9Wh,330W,25.9mm,2.9kg,총5개,○,
333,MSI 모던시리즈 모던14 B11M-i5 카본 그레이 WIN10 16GB램,"748,500",35.56cm(14인치),코어i5-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),,○,○,39Wh,65W,16.9mm,1.3kg,총3개,○,
334,MSI 모던시리즈 모던14 B11MOU-i5,"549,000",35.56cm(14인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,4GB,256GB,M.2(NVMe),Iris Xe,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
335,GIGABYTE G7 GD Gen11 i5,"1,279,000",43.18cm(17인치),코어i5-11세대,미포함(프리도스),16:9,,DDR4,16GB,512GB,M.2(NVMe),RTX3050,,,49Wh,150W,29.5mm,2.5kg,총4개,○,
336,한성컴퓨터 언더케이지 TFX4450HW W11,"809,000",35.56cm(14인치),라이젠5-3세대,윈도우11홈,16:9,○,DDR4,8GB,250GB,M.2(NVMe),Radeon Graphics,○,○,46.74Wh,90W,17.3mm,1.1kg,총4개,,○
337,한성컴퓨터 TFX3412N,"498,000",33.78cm(13.3인치),셀러론,미포함(프리도스),16:9,○,DDR4(온보드),8GB,250GB,M.2(SATA),UHD 600,,○,47.12Wh,24W,16mm,1.3kg,총2개,,○
338,Razer BLADE 15 Advanced 12Gen R3060 QHD,"3,499,000",39.62cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,DDR5,16GB,1TB,M.2(NVMe),RTX3060,,,80Wh,230W,16.99mm,2.01kg,총5개,,○
339,MSI 프레스티지 15 A11UC,"1,500,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050,○,○,82Wh,90W,18.9mm,1.69kg,총4개,○,
340,MSI 모던시리즈 모던15 A11M-i7 카본 그레이 32GB램,"940,490",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),Iris Xe,○,○,52Wh,65W,16.9mm,1.6kg,총4개,○,
341,레노버 게이밍 3 15ACH R7 3060 PRO,"1,294,000",39.6cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3060,,○,60Wh,,24.2mm,2.25kg,총3개,○,
342,MSI 모던시리즈 모던14 B11MOU-i7 32GB램,"959,850",35.56cm(14인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),Iris Xe,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
343,GIGABYTE AERO 15 OLED KD,"1,889,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,,DDR4,16GB,512GB,M.2(NVMe),RTX3060,,,99Wh,230W,20mm,2.2kg,총4개,○,
344,Razer BLADE 14 R9 Zen3 R3080 QHD,"3,090,000",35.56cm(14인치),라이젠9-4세대,윈도우10,16:9,,DDR4,16GB,1TB,M.2(NVMe),RTX3080,,○,61.6Wh,230W,16.8mm,1.78kg,총4개,,○
345,레노버 아이디어패드 Slim5 Pro16IHU6 Superb i7,"1,249,000",40.6cm(16인치),코어i7-11세대,미포함(프리도스),16:10,○,DDR4,16GB,512GB,M.2(NVMe),MX450,○,○,75Wh,,18.4mm,1.9kg,총4개,○,
346,한성컴퓨터 TFG7576XG,"1,690,000",43.94cm(17.3인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,16GB,500GB,M.2(NVMe),RTX3060,,○,91.24Wh,230W,25mm,2.2kg,총4개,○,
347,한성컴퓨터 TFG7277LCW,"2,879,000",43.94cm(17.3인치),코어i9-12세대,윈도우11홈,16:9,○,DDR5,16GB,500GB,M.2(NVMe),RTX3070 Ti,,○,62.32Wh,280W,25mm,2.5kg,총4개,○,
348,MSI 모던시리즈 모던14 B5M-R5 16GB램,"676,390",35.56cm(14인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
349,MSI GE시리즈 레이더 GE76 12UGS QHD,"3,299,000",43.9cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR5,32GB,1TB,M.2(NVMe),RTX3070 Ti,○,,99.9Wh,280W,25.9mm,2.9kg,총5개,○,
350,레노버 게이밍 3 15ACH R7 3060 PRO W10 16GB램,"1,560,000",39.6cm(15.6인치),라이젠7-4세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),RTX3060,,○,60Wh,,24.2mm,2.25kg,총3개,○,
351,MSI GF시리즈 Sword GF66 A11UE 블랙 WIN10 32GB램,"1,550,000",39.62cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,24.9mm,2.25kg,총4개,○,
352,레노버 LEGION 5i 15IMH I7 Ultra PRO,"1,445,000",39.6cm(15.6인치),코어i7-10세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),GTX1660 Ti,,○,80Wh,,23.5mm,2.3kg,총5개,○,
353,MSI GP시리즈 GP66 Leopard 11UH,"2,319,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,1TB,M.2(NVMe),RTX3080,○,○,65Wh,280W,23.4mm,2.38kg,총3개,○,
354,MSI GP시리즈 GP76 Leopard 11UH,"2,519,000",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,1TB,M.2(NVMe),RTX3080,○,○,65Wh,280W,25.9mm,2.9kg,총3개,○,
355,MSI GP시리즈 Vector GP76 12UGS,"2,499,000",43.9cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,1TB,M.2(NVMe),RTX3070 Ti,○,○,65Wh,280W,25.9mm,2.9kg,총4개,○,
356,주연테크 슈퍼플라이 J9FT,"755,100",35.56cm(14인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),Iris Xe,○,○,73Wh,65W,16.5mm,1.12kg,총3개,○,
357,GIGABYTE AERO 16 XE5 OLED,"3,379,000",40.8cm(16인치),코어i7-12세대,미포함(프리도스),16:10,,DDR5,16GB,1TB,M.2(NVMe),RTX3070 Ti,,,99Wh,230W,22.4mm,2.3kg,총3개,○,
358,한성컴퓨터 TFG5275,"1,399,000",39.62cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,500GB,M.2(NVMe),RTX3050,,○,53.35Wh,150W,26mm,2kg,총4개,○,
359,한성컴퓨터 TFX3150U Pro,"779,000",33.782cm(13.3인치),코어i5-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),8GB,500GB,M.2(SATA),Iris Xe,,○,47.12Wh,65W,16mm,1.3kg,총2개,,○
