,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
50,LG전자 2022 그램17 17ZD95P-GX76K,"1,515,800",43.1cm(17인치),코어i7-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
51,삼성전자 갤럭시북2 프로 NT950XEW-A51A,"1,497,000",39.6cm(15.6인치),코어i5-12세대,미포함(프리도스),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,68Wh,65W,11.7mm,1.11kg,총3개,○,
52,MSI 크리에이터 M16 A12UC WIN10 32GB램,"1,804,790",40.6cm(16인치),코어i7-12세대,윈도우10,16:10,○,DDR4,32GB,512GB,M.2(NVMe),RTX3050,○,○,53.5Wh,180W,23.95mm,2.26kg,총4개,○,
53,ASUS 젠북 14X OLED UX5401ZAS-KN050W 스페이스 에디션,"1,885,540",35.56cm(14인치),코어i7-12세대,윈도우11홈,16:10,,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,○,63Wh,100W,15.9mm,1.4kg,총3개,○,
54,ASUS TUF Gaming A15 FA507RM-R6725,"1,179,560",39.62cm(15.6인치),라이젠7-5세대,미포함(프리도스),16:9,,DDR5,8GB,512GB,M.2(NVMe),RTX3060,,○,90Wh,240W,24.9mm,2.2kg,총4개,○,
55,LG전자 2021 그램17 17ZD90P-GX5SK,"1,320,580",43.1cm(17인치),코어i5-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
56,LG전자 2022 그램15 15Z95P-GA56K,"1,637,690",39.6cm(15.6인치),코어i5-11세대,윈도우11홈,16:9,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.4mm,1.12kg,총4개,○,
57,레노버 LEGION 5i 15IAH7H I7 3060 WQHD PRO,"1,894,000",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR5,16GB,512GB,M.2(NVMe),RTX3060,,,80Wh,,19.9mm,2.4kg,총6개,○,
58,APPLE 2020 맥북에어 MGN63KH/A,"1,098,260",33.78cm(13.3인치),실리콘 M1,macOS Big Sur,16:10,,,8GB,256GB,SSD,M1 7 core,,○,49.9Wh,30W,16.1mm,1.29kg,총2개,○,
59,에이서 니트로 5 AN515-58-71Z5,"1,648,820",39.62cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,,○,90Wh,230W,26.9mm,2.5kg,총4개,○,
60,LG전자 2022 그램16(12세대) 16Z90Q-GA5WK,"1,897,190",40.6cm(16인치),코어i5-12세대,윈도우11홈,16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,80Wh,65W,16.8mm,1.199kg,총4개,○,
61,LG전자 2022 그램17 17Z95N-G.ARFMK,"1,256,000",43.1cm(17인치),코어i5-11세대,윈도우11홈,16:10,○,LPDDR4x(온보드),8GB,512GB,M.2(NVMe),Iris Xe,○,,80Wh,65W,17.8mm,1.35kg,총4개,○,
62,LG전자 2022 그램17(12세대) 17ZD90Q-EX56K,"2,080,000",43.1cm(17인치),코어i5-12세대,미포함(프리도스),16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),RTX2050,○,,90Wh,65W,17.7mm,1.435kg,총4개,○,
63,레노버 아이디어패드 Slim3-15ITL 3D,"429,000",39.62cm(15.6인치),코어i3-11세대,미포함(프리도스),16:9,○,DDR4,4GB,256GB,M.2(NVMe),UHD Graphics,○,○,,,19.9mm,1.65kg,총3개,,○
